1030740,341,MADISON AVE,1
1036266,444,E  75 ST,1
1058534,5008,BROADWAY,1
1020348,275,MADISON AVE,1
1031159,441,LEXINGTON AVE,1
1036445,500,E  63 ST,1
1046797,808,W  END AVE,1
1058310,240,NAGLE AVE,1
1020815,50,LEXINGTON AVE,1
1019200,1200,BROADWAY,1
1057338,4672,BROADWAY,1
1002187,361,BROADWAY,1
1063153,555,5 AVE,1
1063383,3440,BROADWAY,1
1036931,1060,PARK AVE,1
1039262,1531,YORK AVE,1
1040829,1590,LEXINGTON AVE,1
1026417,2,COLUMBUS AVE,1
1043918,1931,MADISON AVE,1
1032872,655,MADISON AVE,1
1029761,90,RIVERSIDE DR,1
1061436,1369,BROADWAY,1
1061023,230,PARK AVE S,1
1019809,920,BROADWAY,1
1030973,685,5 AVE,1
1030959,515,MADISON AVE,1
1030554,1370,AVE OF THE AMERICAS,1
1030946,665,5 AVE,1
1030439,650,5 AVE,1
1031000,540,MADISON AVE,1
3209362,8015,BAY PKWY,3
1041072,1685,LEXINGTON AVE,1
1027578,11,RIVERSIDE DR,1
1030730,529,5 AVE,1
1019690,200,PARK AVE S,1
1047383,290,RIVERSIDE DR,1
2101029,2253,UNIVERSITY AVE,2
1030826,589,5 AVE,1
1030782,360,MADISON AVE,1
1023094,1540,BROADWAY,1
1061374,1530,BROADWAY,1
3183918,1100,60 ST,3
5125821,75,ROCKEFELLER PLZ,1
5127029,579,5 AVE,1
5127030,575,5 AVE,1
5148189,2283,3 AVE,1
5124932,3,COLUMBUS CIR,1
5124949,200,W  END AVE,1
5124951,101,W  END AVE,1
5125331,800,5 AVE,1
5125333,770,BROADWAY,1
5125389,127,RIVERSIDE DR,1
5125635,39,WASHINGTON SQ S,1
5181396,4,UNION SQ S,1
3088094,393,MANHATTAN AVE,3
3014590,4201,4 AVE,3
161667,75-22,PARSONS BLVD,4
5181196,1102,E  TREMONT AVE,2
3159804,1259,FLATBUSH AVE,3
161681,75-32,PARSONS BLVD,4
3015684,4524,8 AVE,3
5173569,93-10,ROOSEVELT AVE,4
5175857,168-01,HILLSIDE AVE,4
5166827,118-35,QUEENS BLVD,4
5176071,112-01,QUEENS BLVD,4
5167167,172-14,116 AVE,4
5173436,154-18,ROCKAWAY BLVD,4
5173699,103-03,223 ST,4
5174137,197-131,HIAWATHA AVE,4
5173703,90-03,220 ST,4
5007627,430,BROADWAY,5
3120230,2345,PITKIN AVE,3
5134390,550,GRAND ST,1
5134011,175,BCH 109 ST,4
5134012,175,BCH 109 ST,4
5134013,175,BCH 109 ST,4
5134014,175,BCH 109 ST,4
5134051,210,MURRAY ST,1
5134052,220,MURRAY ST,1
5134053,230,MURRAY ST,1
5134054,240,MURRAY ST,1
5134090,5302,21 AVE,3
350988,220-05,97 AVE,4
9109819,51-49,64 ST,4
2002360,793,ST ANNS AVE,2
2002379,759,ST ANNS AVE,2
2002381,761,ST ANNS AVE,2
2002336,799,ST ANNS AVE,2
2002334,797,ST ANNS AVE,2
2002358,791,ST ANNS AVE,2
2002340,803,ST ANNS AVE,2
2002356,789,ST ANNS AVE,2
2002352,785,ST ANNS AVE,2
2002385,765,ST ANNS AVE,2
1047572,355,RIVERSIDE DR,1
5186364,74-01,METROPOLITAN AVE,4
5161104,59-26,KISSENA BLVD,4
5162705,58-17,59 DR,4
5136332,195-03,LINDEN BLVD,4
5136610,118-59,221 ST,4
5163149,1214,5 AVE,1
5181904,1085,WASHINGTON AVE,2
5186365,74-01,METROPOLITAN AVE,4
5186366,74-01,METROPOLITAN AVE,4
5000010,10,BAY ST  LANDING,5
5151094,201-20,LINDEN BLVD,4
5161807,170-03,NORTHERN BLVD,4
10165382,1702,47 ST,3
5159730,112-14,CORONA AVE,4
10173023,107-17,MERRICK BLVD,4
5161568,123-50,ROOSEVELT AVE,4
5161724,45-05,168 ST,4
5174902,42-53,21 ST,4
5130311,56-01,GRAND CENTRAL PKWY,4
5130312,56-09,GRAND CENTRAL PKWY,4
5130313,117-02,ROOSEVELT AVE,4
5130315,53-51,111 ST,4
5130317,124-50,ROOSEVELT AVE,4
5130350,123-30,ROOSEVELT AVE,4
5130330,123-70,ROOSEVELT AVE,4
5177590,38-50,BELL BLVD,4
5166338,107-73,109 ST,4
5166339,104-49,198 ST,4
5177281,62-00,BCH CHANNEL DR,4
5179687,1649,TILLOTSON AVE,2
5181994,2277,WESTCHESTER AVE,2
3115375,535,WILLIAMS AVE,3
5183122,365,BOND ST,3
5183125,164,CENTRAL AVE,3
3221778,58,AVE O,3
3249581,2370,OCEAN AVE,3
9211147,271,NASSAU AVE,3
3234364,2402,82 ST,3
5181985,3843,E  TREMONT AVE,2
3002475,81,COLUMBIA HTS,3
3218636,727,AVE L,3
5181984,3843,E  TREMONT AVE,2
1047595,370,RIVERSIDE DR,1
210833,95-22,101 AVE,4
1029737,80,RIVERSIDE DR,1
3210827,8200,BAY PKWY,3
161675,75-32,PARSONS BLVD,4
3262627,1817,FLATBUSH AVE,3
161680,75-32,PARSONS BLVD,4
5155349,557,MADISON AVE,1
1047536,301,W  END AVE,1
5069733,492,MIDLAND AVE,5
161664,75-22,PARSONS BLVD,4
5182237,5721,11 AVE,3
3196417,8124,11 AVE,3
3182104,5524,12 AVE,3
161665,75-22,PARSONS BLVD,4
272788,89-43,GOLD RD,4
3201052,202,MARINE AVE,3
5125677,2800,VICTORY BLVD,5
57278,102-01,66 RD,4
5182273,1840,WESTCHESTER AVE,2
5182306,1190,WEBSTER AVE,2
3023677,59,4 AVE,3
3062499,695,LAFAYETTE AVE,3
1047547,345,RIVERSIDE DR,1
5182328,1791,WEBSTER AVE,2
161673,75-22,PARSONS BLVD,4
27146,94-00,DITMARS BLVD,4
1037588,1021,PARK AVE,1
5182357,1971,WEBSTER AVE,2
281902,120-06,133 AVE,4
5127810,5,COLUMBUS CIR,1
5176295,27,WOOSTER ST,1
161682,75-32,PARSONS BLVD,4
5085314,187,MANSION AVE,5
3181373,1280,53 ST,3
5125309,40,5 AVE,1
1045863,382,CENTRAL PARK  W,1
1045866,372,CENTRAL PARK  W,1
161669,75-22,PARSONS BLVD,4
3320416,6801,BAY PKWY,3
1030082,180,RIVERSIDE DR,1
351864,92-19,101 AVE,4
5154896,980,ELTON ST,3
3312083,100,WYCKOFF AVE,3
3190708,7024,FT HAMILTON PKWY,3
3316502,5721,16 AVE,3
354820,30-02,BROADWAY,4
1037004,45,E  89 ST,1
3055233,209,LEWIS AVE,3
5188344,1560,FULTON ST,3
9204456,368,ASHFORD ST,3
980,25-01,JACKSON AVE,4
3258320,2823,AVE Z,3
161684,75-32,PARSONS BLVD,4
5159569,360,SMITH ST,3
5136396,4402,10 AVE,3
5151929,1142,LENOX RD,3
5151930,1144,LENOX RD,3
5152187,151,KENT AVE,3
5163722,1066,MANHATTAN AVE,3
5152916,7001,AVE U,3
5153994,10,OCEAN PKWY,3
161678,75-32,PARSONS BLVD,4
5154096,8325,5 AVE,3
5136401,902,59 ST,3
5136403,247,AVE Z,3
5136397,1711,GROVE ST,4
5136414,7123,18 AVE,3
5136415,7124,20 AVE,3
5136431,5319,6 AVE,3
5136449,478,HALSEY ST,3
5136469,1291,NOSTRAND AVE,3
5161094,3415,NEPTUNE AVE,3
5166563,70,FLUSHING AVE,3
116605,166-40,POWELLS COVE BLVD,4
5182836,52,BROADWAY,3
5182837,52,BROADWAY,3
5182845,1,E  2 ST,1
5182839,1035,FULTON ST,3
161671,75-22,PARSONS BLVD,4
5173894,20,BAY ST  LANDING,5
5160559,5201,CLARENDON RD,3
5158331,2504,E  14 ST,3
5183984,70,LORIMER ST,3
3137414,1145,LENOX RD,3
1027610,33,RIVERSIDE DR,1
1062079,660,PARK AVE,1
1033568,930,5 AVE,1
1027307,2109,BROADWAY,1
1029809,109,RIVERSIDE DR,1
1021364,137,E  36 ST,1
1032914,550,PARK AVE,1
1030105,186,RIVERSIDE DR,1
5173913,191,BENZIGER AVE,5
1030129,190,RIVERSIDE DR,1
5177028,23,WAVERLY PL,1
1063992,1115,5 AVE,1
5185366,350,5 AVE,1
1029813,110,RIVERSIDE DR,1
1011905,20,5 AVE,1
1031228,511,LEXINGTON AVE,1
161679,75-32,PARSONS BLVD,4
1064688,1,MORNINGSIDE DR,1
1062289,1020,5 AVE,1
3260403,2801,AVE I,3
290616,137-51,135 AVE,4
5105733,5251,AMBOY RD,5
5136069,1120,PARK AVE,1
17382,50-01,NORTHERN BLVD,4
5136070,1112,PARK AVE,1
5185865,1161,VICTORY BLVD,5
5125032,600,DEPEYSTER ST,2
5125034,600,DEPEYSTER ST,2
5125634,39,WASHINGTON SQ S,1
5125675,2800,VICTORY BLVD,5
5125676,2800,VICTORY BLVD,5
5125682,2800,VICTORY BLVD,5
5125687,2800,VICTORY BLVD,5
5125689,2800,VICTORY BLVD,5
5125690,2800,VICTORY BLVD,5
5125711,45,BRIGHTON 10 CT,3
5125716,39,BRIGHTON 10 CT,3
5125717,41,BRIGHTON 10 CT,3
5125718,49,BRIGHTON 10 CT,3
5125722,49,BRIGHTON 10 CT,3
5125715,2800,VICTORY BLVD,5
5125724,2800,VICTORY BLVD,5
5125726,2800,VICTORY BLVD,5
5125732,2800,VICTORY BLVD,5
5125733,2800,VICTORY BLVD,5
5125743,2800,VICTORY BLVD,5
5125746,2800,VICTORY BLVD,5
3221229,1519,E  3 ST,3
5136394,4321,17 AVE,3
5136395,4723,17 AVE,3
5136489,5200,KINGS HWY,3
5135630,250,MURRAY ST,1
5141100,5120,BROADWAY,1
5106159,4776,HYLAN BLVD,5
3109223,296,LEGION ST,3
5159748,98,RICHMOND HILL RD,5
3002644,1,PIERREPONT ST,3
1029773,98,RIVERSIDE DR,1
1029784,100,RIVERSIDE DR,1
3232202,2124,QUENTIN RD,3
1033908,531,PARK AVE,1
3232203,2122,QUENTIN RD,3
3128451,503,AUTUMN AVE,3
3029126,529,5 AVE,3
22992,23-01,ASTORIA BLVD,4
5116758,5,GILBERT PL,5
5151410,120,PARK AVE,1
3110597,40,LOTT AVE,3
5027041,1,RIDGE AVE,5
1053103,340,CONVENT AVE,1
5049560,112,RICHMOND HILL RD,5
2102947,900,INTERVALE AVE,2
3086747,164,DRIGGS AVE,3
5091679,4275,AMBOY RD,5
10166179,6824,BAY PKWY,3
5125685,2800,VICTORY BLVD,5
5125737,2800,VICTORY BLVD,5
5160054,215,BOWERY,1
5160055,215,BOWERY,1
5160479,183,MADISON AVE,1
9221718,237,PARK AVE,1
5160336,1177,FLUSHING AVE,3
5165520,7556,AMBOY RD,5
5016721,132,CANAL ST,5
2084060,1461,CROSBY AVE,2
5160558,1120,LENOX RD,3
9202448,455,MORGAN AVE,3
9101302,701,W  135 ST,1
5125720,51,BRIGHTON 10 CT,3
5125723,51,BRIGHTON 10 CT,3
5155446,327,GREENPOINT AVE,3
5160723,6315,MILL LN,3
5160725,1829,E  52 ST,3
5160590,5110,19 AVE,3
5160605,29,BAY RIDGE AVE,3
5160610,7702,RIDGE BLVD,3
5125031,600,DEPEYSTER ST,2
5125033,600,DEPEYSTER ST,2
3269098,4119,AVE I,3
3264756,3506,BEDFORD AVE,3
5164645,300,LIBERTY AVE,3
3231150,1300,AVE P,3
5163843,465,ST ANNS AVE,2
5106895,470,POILLON AVE,5
326405,162-39,84 ST,4
5162537,1053,ROGERS AVE,3
2014126,1901,GRAND CONC,2
32695,39-27,59 ST,4
327360,97-03,158 AVE,4
5182917,441,4 AVE,3
3233412,2323,AVE S,3
5183792,23-01,42 RD,4
5174200,815,AVE OF THE AMERICAS,1
5174371,1158,BROADWAY,1
278655,123-01,115 AVE,4
34741,41-02,69 ST,4
10165663,776,4 AVE,3
162678,162-02,77 RD,4
5152752,1154,CLARKSON AVE,3
34773,41-03,69 ST,4
5118381,332,BRIGHTON ST,5
5183112,556,COLUMBIA ST,3
9110788,33,SIMMONS LN,5
10166584,801,AVE S,3
5098343,6,CROWN AVE,5
10172005,51-02,199 ST,4
3316330,150,LIBERTY AVE,3
3143533,521,BROOKLYN AVE,3
338957,318,BCH 85 ST,4
42601,77-01,45 AVE,4
3304569,324,OCEAN VIEW AVE,3
6370,25-20,39 AVE,4
3195050,50,79 ST,3
1030880,623,5 AVE,1
5184376,195-10,67 AVE,4
5125587,109,MONT SEC AVE,5
5185600,606,BROADWAY,1
2098305,240,W  261 ST,2
2098294,6040,HUXLEY AVE,2
1029816,118,RIVERSIDE DR,1
5075397,105,OAK AVE,5
1029842,120,RIVERSIDE DR,1
10168491,544,UNION AVE,3
